# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.9.5

대표, offlineplayer, 810475756964800455554944820C6C6561737453696742697473049B9CC44F7DFD05B50B6D6F7374536967426974730476CDC94735984F9C
대표투표다음, boolean, 01
라운드1, long, 0000000000000000
모드레드, boolean, 00
모르가나, boolean, 00
선인원, long, 0000000000000003
성공실패투표다음, boolean, 01
악인원, long, 0000000000000005
역할없음선캐릭터::1, offlineplayer, 810475756964800455554944820C6C656173745369674269747304B23D620E132F8A340B6D6F73745369674269747304104ED1D53D214215
역할없음선캐릭터::2, offlineplayer, 810475756964800455554944820C6C6561737453696742697473049B9CC44F7DFD05B50B6D6F7374536967426974730476CDC94735984F9C
역할없음악캐릭터::1, offlineplayer, 810475756964800455554944820C6C656173745369674269747304B5635592011A9E120B6D6F73745369674269747304072BD984CA3D4FF5
역할없음악캐릭터::2, offlineplayer, 810475756964800455554944820C6C656173745369674269747304AC648E4D367870220B6D6F737453696742697473043AE11AA2759740B8
역할없음악캐릭터::3, offlineplayer, 810475756964800455554944820C6C656173745369674269747304B1AB4BFE278D43320B6D6F7374536967426974730442DCB15BD91B4B30
역할없음악캐릭터::4, offlineplayer, 810475756964800455554944820C6C656173745369674269747304B23D620E132F8A340B6D6F73745369674269747304104ED1D53D214215
오베론, boolean, 00
요정, long, 0000000000000001
요정여부, boolean, 00
원정대최대인원, long, 0000000000000004
원정번째, long, 0000000000000002
원정성공, long, 0000000000000000
원정실패, long, 0000000000000000
원정연속반대, long, 0000000000000000
원정횟수, long, 0000000000000000
접속인원수카운트, long, 0000000000000002
접속카운트1, string, 80075F676C6170655F
접속카운트2, string, 80065F676C617065
접속카운트3, string, 80075F676C6170655F
접속카운트4, string, 80065F676C617065
찬반투표다음, boolean, 01
퍼시벌, boolean, 00

