# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.9.5

대표투표다음, boolean, 01
라운드1, long, 0000000000000000
모드레드, boolean, 01
모르가나, boolean, 01
선인원, long, 0000000000000004
성공실패투표다음, boolean, 01
악인원, long, 0000000000000006
오베론, boolean, 01
요정, long, 0000000000000001
요정여부, boolean, 00
원정대최대인원, long, 0000000000000005
원정번째, long, 0000000000000002
원정성공, long, 0000000000000000
원정실패, long, 0000000000000000
원정연속반대, long, 0000000000000000
원정횟수, long, 0000000000000000
접속인원수카운트, long, 000000000000000C
접속카운트1, string, 80075F676C6170655F
접속카운트2, string, 8008646F746F72695F6F
접속카운트3, string, 80065F676C617065
접속카운트4, string, 80064A756E5F5375
접속카운트5, string, 8005465F617374
접속카운트6, string, 800B47656E6975736D696E675F
접속카운트7, string, 80064A756E5F5375
접속카운트8, string, 800B706C6174696E616D6F6F6E
찬반투표다음, boolean, 01
퍼시벌, boolean, 01

