# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.9.5

관리자제외전체인원::1, offlineplayer, 810475756964800455554944820C6C6561737453696742697473049B9CC44F7DFD05B50B6D6F7374536967426974730476CDC94735984F9C
관리자제외전체인원::2, offlineplayer, 810475756964800455554944820C6C656173745369674269747304A57CAF60EA871A0C0B6D6F7374536967426974730474525EC080BF477E
관리자제외전체인원::3, offlineplayer, 810475756964800455554944820C6C6561737453696742697473048FD0B4D4263CC4220B6D6F737453696742697473045500300BEF5949CA
관리자제외전체인원::4, offlineplayer, 810475756964800455554944820C6C6561737453696742697473049DE084A2D91E7D930B6D6F73745369674269747304DA688B4129DB4A6C
관리자제외전체인원::5, offlineplayer, 810475756964800455554944820C6C656173745369674269747304B1AB4BFE278D43320B6D6F7374536967426974730442DCB15BD91B4B30
관리자제외전체인원::6, offlineplayer, 810475756964800455554944820C6C656173745369674269747304A2ABDF4A70CF782B0B6D6F73745369674269747304A63B181160DE43C6
관리자제외전체인원::7, offlineplayer, 810475756964800455554944820C6C656173745369674269747304ABDA8593CDA192EB0B6D6F73745369674269747304CEC650D335814A79
관리자제외전체인원::8, offlineplayer, 810475756964800455554944820C6C656173745369674269747304B23D620E132F8A340B6D6F73745369674269747304104ED1D53D214215
대표투표다음, boolean, 01
라운드1, long, 0000000000000000
모드레드, boolean, 00
모르가나, boolean, 00
선인원, long, 0000000000000005
성공실패투표다음, boolean, 01
손흔들기변수::1, offlineplayer, 810475756964800455554944820C6C656173745369674269747304811AA8FEFFB801910B6D6F737453696742697473043EC9040430B62996
손흔들기변수::2, offlineplayer, 810475756964800455554944820C6C656173745369674269747304B25D85F309DF83B30B6D6F73745369674269747304C185809F159E2A6D
악인원, long, 0000000000000003
오베론, boolean, 00
요정, long, 0000000000000005
요정여부, boolean, 00
원정대최대인원, long, 0000000000000000
원정번째, long, 0000000000000002
원정성공, long, 0000000000000000
원정실패, long, 0000000000000000
원정연속반대, long, 0000000000000000
원정횟수, long, 0000000000000000
접속인원수카운트, long, 0000000000000001
접속카운트1, string, 80075F676C6170655F
찬반투표다음, boolean, 01
퍼시벌, boolean, 00

